correct_ans,images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,date,frameRate,expName,session,participant,
left,images/gorilla_face.jpeg,0,3,3,0,,,,,left,1,0.509121894836,,,,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/rat_cat.jpeg,,,,,0,0,0,5,,,,left,0,1.38499689102,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/marshmallow_hog.jpeg,,,,,0,1,1,8,,,,up,1,0.737932920456,2015_Aug_26_0844,60.296862174,proficient,001,001,
left,images/gorilla_tongue.jpeg,,,,,0,2,2,2,,,,left,1,0.597343921661,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/ear_muffs_cat.jpeg,,,,,0,3,3,4,,,,right,1,0.599709033966,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/egg_hog.jpeg,,,,,0,4,4,6,,,,up,1,0.56131696701,2015_Aug_26_0844,60.296862174,proficient,001,001,
left,images/gorilla_face.jpeg,,,,,0,5,5,0,,,,left,1,0.776432991028,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/icecream_hog.jpeg,,,,,0,6,6,7,,,,up,1,0.952018022537,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/cat_eyes.jpeg,,,,,0,7,7,3,,,,right,1,0.843435049057,2015_Aug_26_0844,60.296862174,proficient,001,001,
left,images/gorilla_fat.jpeg,,,,,0,8,8,1,,,,up,0,0.635679006577,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/santa_hog.jpeg,,,,,0,9,9,9,,,,left,0,1.23313188553,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/rat_cat.jpeg,,,,,1,0,10,5,,,,up,0,1.02656316757,2015_Aug_26_0844,60.296862174,proficient,001,001,
left,images/gorilla_fat.jpeg,,,,,1,1,11,1,,,,left,1,1.60799694061,2015_Aug_26_0844,60.296862174,proficient,001,001,
left,images/gorilla_tongue.jpeg,,,,,1,2,12,2,,,,left,1,0.527907848358,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/cat_eyes.jpeg,,,,,1,3,13,3,,,,right,1,0.860180854797,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/ear_muffs_cat.jpeg,,,,,1,4,14,4,,,,right,1,0.810992956161,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/marshmallow_hog.jpeg,,,,,1,5,15,8,,,,up,1,0.62686085701,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/santa_hog.jpeg,,,,,1,6,16,9,,,,up,1,0.627341032028,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/icecream_hog.jpeg,,,,,1,7,17,7,,,,up,1,0.560344934464,2015_Aug_26_0844,60.296862174,proficient,001,001,
up,images/egg_hog.jpeg,,,,,1,8,18,6,,,,up,1,0.910107135773,2015_Aug_26_0844,60.296862174,proficient,001,001,
left,images/gorilla_face.jpeg,,,,,1,9,19,0,,,,left,1,0.627278089523,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/ear_muffs_cat.jpeg,,,,,2,0,20,4,,,,right,1,0.665270090103,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/cat_eyes.jpeg,,,,,2,1,21,3,,,,right,1,0.706792116165,2015_Aug_26_0844,60.296862174,proficient,001,001,
right,images/rat_cat.jpeg,,,,,2,2,22,5,,,,right,1,0.843383789062,2015_Aug_26_0844,60.296862174,proficient,001,001,
