correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,date,frameRate,expName,session,participant,
right,images/ear_muffs_cat.jpeg,cat,0,3,3,4,,,,,right,1,0.697288990021,,,,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_face.jpeg,gorilla,,,,,0,0,0,0,,,,left,1,0.836068868637,2015_Aug_26_0856,60.1001309669,proficient,001,001,
right,images/ear_muffs_cat.jpeg,cat,,,,,0,1,1,4,,,,up,0,0.194479942322,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/icecream_hog.jpeg,hog,,,,,0,2,2,7,,,,right,0,0.155467033386,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_fat.jpeg,gorilla,,,,,0,3,3,1,,,,left,1,0.110975980759,2015_Aug_26_0856,60.1001309669,proficient,001,001,
right,images/cat_eyes.jpeg,cat,,,,,0,4,4,3,,,,up,0,0.179393053055,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_tongue.jpeg,gorilla,,,,,0,5,5,2,,,,right,0,0.244683027267,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/santa_hog.jpeg,hog,,,,,0,6,6,9,,,,up,1,0.0978989601135,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/marshmallow_hog.jpeg,hog,,,,,0,7,7,8,,,,left,0,0.0212259292603,2015_Aug_26_0856,60.1001309669,proficient,001,001,
right,images/rat_cat.jpeg,cat,,,,,0,8,8,5,,,,right,1,0.194550991058,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/egg_hog.jpeg,hog,,,,,0,9,9,6,,,,left,0,0.161262989044,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/egg_hog.jpeg,hog,,,,,1,0,10,6,,,,right,0,0.0458478927612,2015_Aug_26_0856,60.1001309669,proficient,001,001,
right,images/cat_eyes.jpeg,cat,,,,,1,1,11,3,,,,up,0,0.144674062729,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/santa_hog.jpeg,hog,,,,,1,2,12,9,,,,left,0,0.0787229537964,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_tongue.jpeg,gorilla,,,,,1,3,13,2,,,,right,0,0.228170156479,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_fat.jpeg,gorilla,,,,,1,4,14,1,,,,up,0,0.0950930118561,2015_Aug_26_0856,60.1001309669,proficient,001,001,
