correct_ans,images,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
right,images/cat_eyes.jpeg,0,0,0,3,left,1.4289431572,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
up,images/icecream_hog.jpeg,0,1,1,7,up,0.713410139084,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
up,images/marshmallow_hog.jpeg,0,2,2,8,right,0.534312009811,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
left,images/gorilla_tongue.jpeg,0,3,3,2,up,0.675894021988,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
up,images/santa_hog.jpeg,0,4,4,9,left,0.277469873428,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
up,images/egg_hog.jpeg,0,5,5,6,up,0.327693939209,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
left,images/gorilla_fat.jpeg,0,6,6,1,right,0.361015081406,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
right,images/rat_cat.jpeg,0,7,7,5,left,0.344385147095,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
right,images/ear_muffs_cat.jpeg,0,8,8,4,up,0.360998868942,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
left,images/gorilla_face.jpeg,0,9,9,0,right,0.311321973801,2015_Jul_22_0954,60.1818813151,visneuro,001,001,
