correct_ans,images,type_of_image,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant
right,images/cat_eyes.jpeg,cat,0,1,1,3,right,1,0.550385951996,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
left,images/gorilla_tongue.jpeg,gorilla,0,2,2,2,left,1,0.600392103195,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/santa_hog.jpeg,hog,0,3,3,9,up,1,0.600248098373,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
right,images/ear_muffs_cat.jpeg,cat,0,4,4,4,right,1,0.749852895737,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/marshmallow_hog.jpeg,hog,0,5,5,8,up,1,0.76651096344,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
left,images/gorilla_face.jpeg,gorilla,0,6,6,0,left,1,0.565963029861,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
right,images/rat_cat.jpeg,cat,0,7,7,5,right,1,0.617017030716,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
left,images/gorilla_fat.jpeg,gorilla,0,8,8,1,left,1,0.616886138916,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/icecream_hog.jpeg,hog,0,9,9,7,up,1,0.550426959991,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
right,images/cat_eyes.jpeg,cat,1,0,10,3,right,1,0.63344502449,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
left,images/gorilla_face.jpeg,gorilla,1,1,11,0,left,1,0.633459091187,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/marshmallow_hog.jpeg,hog,1,2,12,8,up,1,0.652804136276,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/icecream_hog.jpeg,hog,1,3,13,7,up,1,0.517149925232,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
right,images/rat_cat.jpeg,cat,1,4,14,5,right,1,0.53377699852,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
left,images/gorilla_tongue.jpeg,gorilla,1,5,15,2,left,1,0.666864156723,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
right,images/ear_muffs_cat.jpeg,cat,1,6,16,4,up,0,0.849612951279,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/santa_hog.jpeg,hog,1,7,17,9,up,1,0.566972970963,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
left,images/gorilla_fat.jpeg,gorilla,1,8,18,1,left,1,0.600251913071,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/egg_hog.jpeg,hog,1,9,19,6,up,1,1.11569595337,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
left,images/gorilla_fat.jpeg,gorilla,2,0,20,1,left,1,0.650157928467,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/icecream_hog.jpeg,hog,2,1,21,7,up,1,0.766528844833,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
up,images/marshmallow_hog.jpeg,hog,2,2,22,8,left,0,0.517117023468,2016_Feb_02_1234,60.2054646064,visneuro,1,tf1
