correct_ans,images,type_of_image,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
up,images/icecream_hog.jpeg,hog,0,0,0,7,up,0.716729879379,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/marshmallow_hog.jpeg,hog,0,1,1,8,up,0.732481956482,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
right,images/rat_cat.jpeg,cat,0,2,2,5,right,0.633308887482,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/santa_hog.jpeg,hog,0,3,3,9,up,0.599659204483,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
left,images/gorilla_tongue.jpeg,gorilla,0,4,4,2,left,0.583327054977,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
right,images/ear_muffs_cat.jpeg,cat,0,5,5,4,right,0.650166034698,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/egg_hog.jpeg,hog,0,6,6,6,up,0.550393104553,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
right,images/cat_eyes.jpeg,cat,0,7,7,3,right,0.949368953705,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
left,images/gorilla_face.jpeg,gorilla,0,8,8,0,left,0.532589912415,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
left,images/gorilla_fat.jpeg,gorilla,0,9,9,1,left,0.483898878098,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/egg_hog.jpeg,hog,1,0,10,6,up,0.66640496254,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
right,images/ear_muffs_cat.jpeg,cat,1,1,11,4,right,0.717137098312,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/marshmallow_hog.jpeg,hog,1,2,12,8,up,0.783313989639,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
left,images/gorilla_fat.jpeg,gorilla,1,3,13,1,left,0.599440097809,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
