correct_ans,images,type_of_image,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant
left,images/gorilla_fat.jpeg,gorilla,0,0,0,1,left,0.47258091,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/ear_muffs_cat.jpeg,cat,0,1,1,4,right,0.600095034,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/cat_eyes.jpeg,cat,0,2,2,3,right,0.666622877,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/egg_hog.jpeg,hog,0,3,3,6,up,0.600803137,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/marshmallow_hog.jpeg,hog,0,4,4,8,up,0.583729982,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/rat_cat.jpeg,cat,0,5,5,5,right,0.549971819,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/santa_hog.jpeg,hog,0,6,6,9,right,0.583965063,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/icecream_hog.jpeg,hog,0,7,7,7,up,0.6168859,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_tongue.jpeg,gorilla,0,8,8,2,left,0.632353067,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_face.jpeg,gorilla,0,9,9,0,left,0.517132044,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_fat.jpeg,gorilla,1,0,10,1,left,0.483761072,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/santa_hog.jpeg,hog,1,1,11,9,up,0.65015316,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/rat_cat.jpeg,cat,1,2,12,5,right,0.633528948,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/icecream_hog.jpeg,hog,1,3,13,7,up,1.01589489,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_tongue.jpeg,gorilla,1,4,14,2,left,0.583655834,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/ear_muffs_cat.jpeg,cat,1,5,15,4,right,0.633364916,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/egg_hog.jpeg,hog,1,6,16,6,up,0.61670804,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/cat_eyes.jpeg,cat,1,7,17,3,right,0.749728918,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/marshmallow_hog.jpeg,hog,1,8,18,8,left,0.782999992,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_face.jpeg,gorilla,1,9,19,0,left,0.648928881,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/marshmallow_hog.jpeg,hog,2,0,20,8,up,0.749855995,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/egg_hog.jpeg,hog,2,1,21,6,up,0.616914988,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/rat_cat.jpeg,cat,2,2,22,5,right,0.600387096,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_fat.jpeg,gorilla,2,3,23,1,left,0.732152939,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/icecream_hog.jpeg,hog,2,4,24,7,up,0.699888945,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/cat_eyes.jpeg,cat,2,5,25,3,right,0.749850988,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_face.jpeg,gorilla,2,6,26,0,left,0.683387041,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_tongue.jpeg,gorilla,2,7,27,2,left,0.63340497,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/ear_muffs_cat.jpeg,cat,2,8,28,4,right,0.600264072,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/santa_hog.jpeg,hog,2,9,29,9,up,0.782027006,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/rat_cat.jpeg,cat,3,0,30,5,up,0.766520023,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_tongue.jpeg,gorilla,3,1,31,2,left,0.999442101,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/santa_hog.jpeg,hog,3,2,32,9,up,0.666694164,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/marshmallow_hog.jpeg,hog,3,3,33,8,up,0.849807978,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/icecream_hog.jpeg,hog,3,4,34,7,up,0.60016799,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_fat.jpeg,gorilla,3,5,35,1,left,0.633543015,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/ear_muffs_cat.jpeg,cat,3,6,36,4,right,0.816442966,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/egg_hog.jpeg,hog,3,7,37,6,up,1.14875102,2016_Feb_02_1218,60.18542195,visneuro,1,tf
left,images/gorilla_face.jpeg,gorilla,3,8,38,0,left,0.733304977,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/cat_eyes.jpeg,cat,3,9,39,3,right,0.683289051,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/egg_hog.jpeg,hog,4,0,40,6,up,0.632191896,2016_Feb_02_1218,60.18542195,visneuro,1,tf
right,images/cat_eyes.jpeg,cat,4,1,41,3,right,1.033013105,2016_Feb_02_1218,60.18542195,visneuro,1,tf
up,images/santa_hog.jpeg,hog,4,2,42,9,up,1.049431086,2016_Feb_02_1218,60.18542195,visneuro,1,tf
