correct_ans,images,type_of_image,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
up,images/santa_hog.jpeg,hog,0,0,0,9,up,1,0.982710838318,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/marshmallow_hog.jpeg,hog,0,1,1,8,up,1,0.666628837585,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/ear_muffs_cat.jpeg,cat,0,2,2,4,right,1,0.633625030518,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/egg_hog.jpeg,hog,0,3,3,6,up,1,0.732213020325,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/cat_eyes.jpeg,cat,0,4,4,3,right,1,0.750509977341,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_face.jpeg,gorilla,0,5,5,0,left,1,0.633511066437,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/rat_cat.jpeg,cat,0,6,6,5,right,1,0.73209810257,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/icecream_hog.jpeg,hog,0,7,7,7,up,1,0.566942214966,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_tongue.jpeg,gorilla,0,8,8,2,left,1,0.583603858948,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_fat.jpeg,gorilla,0,9,9,1,left,1,0.550396203995,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/egg_hog.jpeg,hog,1,0,10,6,up,1,0.566903829575,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/rat_cat.jpeg,cat,1,1,11,5,right,1,0.600686073303,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/ear_muffs_cat.jpeg,cat,1,2,12,4,right,1,0.633486032486,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_tongue.jpeg,gorilla,1,3,13,2,left,1,0.666675806046,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/cat_eyes.jpeg,cat,1,4,14,3,right,1,0.733129024506,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/icecream_hog.jpeg,hog,1,5,15,7,up,1,0.533730983734,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_fat.jpeg,gorilla,1,6,16,1,left,1,0.567100048065,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/santa_hog.jpeg,hog,1,7,17,9,up,1,0.599988937378,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_face.jpeg,gorilla,1,8,18,0,left,1,0.66672706604,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/marshmallow_hog.jpeg,hog,1,9,19,8,up,1,0.550392866135,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_tongue.jpeg,gorilla,2,0,20,2,left,1,0.666724920273,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_face.jpeg,gorilla,2,1,21,0,left,1,0.832934856415,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/cat_eyes.jpeg,cat,2,2,22,3,right,1,0.500654220581,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/rat_cat.jpeg,cat,2,3,23,5,right,1,0.533727169037,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/ear_muffs_cat.jpeg,cat,2,4,24,4,right,1,0.550310850143,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_fat.jpeg,gorilla,2,5,25,1,left,1,0.583409070969,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/marshmallow_hog.jpeg,hog,2,6,26,8,up,1,0.533742189407,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/santa_hog.jpeg,hog,2,7,27,9,up,1,0.600146055222,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/egg_hog.jpeg,hog,2,8,28,6,up,1,0.567007064819,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/icecream_hog.jpeg,hog,2,9,29,7,up,1,0.683361053467,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/ear_muffs_cat.jpeg,cat,3,0,30,4,right,1,0.882872104645,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/rat_cat.jpeg,cat,3,1,31,5,right,1,0.467241048813,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/egg_hog.jpeg,hog,3,2,32,6,left,0,0.633316993713,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/icecream_hog.jpeg,hog,3,3,33,7,up,1,0.882899045944,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_tongue.jpeg,gorilla,3,4,34,2,left,1,0.948264837265,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_fat.jpeg,gorilla,3,5,35,1,left,1,0.500476121902,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/santa_hog.jpeg,hog,3,6,36,9,up,1,1.06592392921,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/marshmallow_hog.jpeg,hog,3,7,37,8,up,1,0.650115966797,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_face.jpeg,gorilla,3,8,38,0,left,1,1.14894390106,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/cat_eyes.jpeg,cat,3,9,39,3,right,1,0.650113105774,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_face.jpeg,gorilla,4,0,40,0,left,1,0.716608047485,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/cat_eyes.jpeg,cat,4,1,41,3,right,1,0.650290966034,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/rat_cat.jpeg,cat,4,2,42,5,right,1,0.650019884109,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
right,images/ear_muffs_cat.jpeg,cat,4,3,43,4,right,1,0.467225074768,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/santa_hog.jpeg,hog,4,4,44,9,right,0,0.65009188652,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/marshmallow_hog.jpeg,hog,4,5,45,8,up,1,0.694221973419,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/egg_hog.jpeg,hog,4,6,46,6,up,1,0.58358001709,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_fat.jpeg,gorilla,4,7,47,1,left,1,0.616181850433,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
left,images/gorilla_tongue.jpeg,gorilla,4,8,48,2,left,1,0.450565814972,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
up,images/icecream_hog.jpeg,hog,4,9,49,7,up,1,0.882306098938,2016_Feb_02_1233,60.1938002296,visneuro,001,tf,
